iter	Passed	Remaining
407	5926	8599
408	5941	8585
409	5952	8565
410	5965	8548
411	5979	8533
412	5995	8521
413	6009	8506
414	6024	8492
415	6040	8480
416	6057	8469
417	6072	8455
418	6088	8442
419	6105	8430
420	6120	8417
421	6133	8401
422	6145	8382
423	6158	8366
424	6172	8351
425	6185	8333
426	6199	8319
427	6213	8304
428	6228	8290
429	6244	8278
430	6261	8266
431	6276	8252
432	6295	8243
433	6310	8229
434	6326	8217
435	6338	8199
436	6350	8181
437	6364	8165
438	6379	8152
439	6394	8138
440	6412	8128
441	6428	8116
442	6444	8103
443	6459	8089
444	6475	8075
445	6490	8062
446	6506	8049
447	6521	8035
448	6539	8025
449	6552	8008
450	6563	7989
451	6575	7971
452	6590	7958
453	6606	7945
454	6624	7934
455	6639	7921
456	6655	7908
457	6670	7894
458	6684	7878
459	6695	7859
460	6709	7844
461	6724	7830
462	6737	7813
463	6750	7798
464	6762	7780
465	6774	7763
466	6790	7749
467	6805	7736
468	6822	7724
469	6837	7709
470	6855	7699
471	6871	7686
472	6886	7672
473	6903	7661
474	6918	7646
475	6937	7636
476	6950	7620
477	6962	7603
478	6977	7588
479	6992	7575
480	7009	7563
481	7026	7551
482	7041	7537
483	7056	7523
484	7073	7510
485	7088	7496
486	7104	7483
487	7121	7471
488	7137	7459
489	7151	7443
490	7162	7424
491	7175	7408
492	7189	7393
493	7201	7376
494	7213	7359
495	7227	7344
496	7243	7330
497	7259	7318
498	7275	7304
499	7295	7295
500	7311	7282
501	7327	7268
502	7344	7256
503	7356	7239
504	7367	7221
505	7381	7206
506	7396	7192
507	7412	7179
508	7427	7165
509	7444	7152
510	7461	7140
511	7477	7126
512	7493	7113
513	7508	7099
514	7523	7085
515	7540	7072
516	7555	7058
517	7566	7040
518	7579	7024
519	7595	7011
520	7614	7000
521	7629	6986
522	7646	6974
523	7662	6960
524	7681	6949
525	7696	6935
526	7711	6920
527	7722	6903
528	7734	6886
529	7747	6870
530	7762	6856
531	7773	6838
532	7787	6823
533	7804	6810
534	7818	6795
535	7834	6781
536	7851	6769
537	7868	6757
538	7884	6743
539	7900	6730
540	7916	6716
541	7932	6703
542	7946	6688
543	7957	6670
544	7969	6653
545	7983	6638
546	8000	6625
547	8015	6611
548	8030	6596
549	8046	6583
550	8065	6572
551	8082	6559
552	8097	6545
553	8113	6532
554	8128	6517
555	8140	6501
556	8151	6483
557	8163	6466
558	8178	6452
559	8196	6439
560	8213	6426
561	8225	6410
562	8236	6393
563	8248	6376
564	8262	6361
565	8279	6348
566	8295	6334
567	8310	6320
568	8327	6307
569	8340	6291
570	8351	6274
571	8364	6258
572	8378	6243
573	8395	6231
574	8411	6216
575	8426	6202
576	8444	6190
577	8462	6178
578	8477	6164
579	8495	6152
580	8511	6138
581	8529	6125
582	8540	6108
583	8552	6092
584	8566	6076
585	8580	6061
586	8596	6048
587	8612	6034
588	8627	6020
589	8642	6006
590	8657	5991
591	8675	5978
592	8691	5965
593	8707	5951
594	8722	5937
595	8736	5921
596	8747	5904
597	8760	5889
598	8775	5874
599	8787	5858
600	8802	5843
601	8819	5830
